,Accuracy,Ask_List
902,99.06,295
903,99.14,269
904,99.09,516
905,99.0,561
906,99.15,285
907,99.1,508
908,99.08,294
909,99.12,544
910,99.13,499
911,99.15,544
912,99.1,283
913,99.2,486
914,99.1,426
915,99.12,543
916,99.1,450
917,99.2,337
918,99.14,525
919,99.15,213
920,99.14,547
921,99.1,282
922,99.13,536
923,99.01,545
924,99.08,528
925,99.12,508
926,99.06,251
927,99.07,592
928,99.16,363
929,99.02,450
930,99.12,535
931,99.13,462
932,99.06,387
933,99.15,526
934,99.05,294
935,99.04,344
936,99.09,277
937,99.11,333
938,99.07,393
939,99.04,451
940,99.08,527
941,99.03,449
942,99.08,513
943,99.08,257
944,99.07,422
945,99.14,501
946,99.07,616
947,99.13,261
948,99.03,251
949,99.04,293
950,99.05,548
951,99.01,501
952,99.1,334
953,98.99,405
954,99.01,434
955,99.04,595
956,99.08,573
957,99.07,298
958,99.12,479
959,99.09,361
960,99.12,495
961,99.1,529
962,99.14,326
963,99.14,450
964,99.12,320
965,99.09,395
966,99.11,257
967,99.08,495
968,99.06,325
969,99.05,523
970,99.09,493
971,98.92,439
972,99.09,368
973,99.05,323
974,99.05,475
975,99.0,393
976,99.09,542
977,99.06,354
978,99.07,526
979,99.17,509
980,99.1,526
981,99.08,350
982,99.15,470
983,99.17,481
984,99.14,515
985,99.07,505
986,99.14,515
987,99.09,295
988,99.06,289
989,99.0,236
990,99.05,540
991,99.04,522
992,99.02,290
993,99.08,504
994,99.07,502
995,99.01,427
996,99.14,418
997,99.04,343
998,98.95,417
999,99.02,164
